Codigo,Nome,Setor,Asset Class,Valor de mercado,Peso,Valor Nacional,Shares,Preco,Localizacao,Exchange,Currency,FX Rate,Market Currency
"VALE3","CIA VALE DO RIO DOCE SH","Materiais","Renda Variável","1.164.836.035,30","11,30","1.164.836.035,30","20.282.710,00","57,43","Brasil","XBSP","BRL","1,00","BRL"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energia","Renda Variável","823.438.220,15","7,99","823.438.220,15","21.043.655,00","39,13","Brasil","XBSP","BRL","1,00","BRL"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Produtos financeiros","Renda Variável","735.232.507,50","7,13","735.232.507,50","21.157.770,00","34,75","Brasil","XBSP","BRL","1,00","BRL"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energia","Renda Variável","495.326.004,60","4,81","495.326.004,60","11.627.371,00","42,60","Brasil","XBSP","BRL","1,00","BRL"
"BBAS3","BANCO DO BRASIL SA","Produtos financeiros","Renda Variável","346.537.427,35","3,36","346.537.427,35","13.499.705,00","25,67","Brasil","XBSP","BRL","1,00","BRL"
"BBDC4","BANCO BRADESCO PREF SA","Produtos financeiros","Renda Variável","333.521.721,46","3,24","333.521.721,46","24.362.434,00","13,69","Brasil","XBSP","BRL","1,00","BRL"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Serviços públicos","Renda Variável","321.035.729,60","3,12","321.035.729,60","3.246.064,00","98,90","Brasil","XBSP","BRL","1,00","BRL"
"WEGE3","WEG SA","Bens Industriais","Renda Variável","318.091.284,42","3,09","318.091.284,42","6.026.739,00","52,78","Brasil","XBSP","BRL","1,00","BRL"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","Serviços públicos","Renda Variável","308.125.919,70","2,99","308.125.919,70","8.453.386,00","36,45","Brasil","XBSP","BRL","1,00","BRL"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Produtos financeiros","Renda Variável","272.920.600,80","2,65","272.920.600,80","26.141.820,00","10,44","Brasil","XBSP","BRL","1,00","BRL"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Produtos financeiros","Renda Variável","266.450.525,96","2,59","266.450.525,96","26.173.922,00","10,18","Brasil","XBSP","BRL","1,00","BRL"
"ABEV3","AMBEV SA","Bens de primeira necessidade","Renda Variável","263.187.017,34","2,55","263.187.017,34","20.871.294,00","12,61","Brasil","XBSP","BRL","1,00","BRL"
"BPAC11","BCO BTG PACTUAL UNT SA","Produtos financeiros","Renda Variável","206.750.148,82","2,01","206.750.148,82","6.113.251,00","33,82","Brasil","XBSP","BRL","1,00","BRL"
"RENT3","LOCALIZA RENT A CAR SA","Bens Industriais","Renda Variável","204.670.889,52","1,99","204.670.889,52","4.643.169,00","44,08","Brasil","XBSP","BRL","1,00","BRL"
"EMBR3","EMBRAER SA","Bens Industriais","Renda Variável","204.063.070,46","1,98","204.063.070,46","3.488.854,00","58,49","Brasil","XBSP","BRL","1,00","BRL"
"EQTL3","EQUATORIAL ENERGIA SA","Serviços públicos","Renda Variável","196.399.530,14","1,91","196.399.530,14","5.912.087,00","33,22","Brasil","XBSP","BRL","1,00","BRL"
"JBSS3","JBS SA","Bens de primeira necessidade","Renda Variável","190.261.784,88","1,85","190.261.784,88","5.426.748,00","35,06","Brasil","XBSP","BRL","1,00","BRL"
"SUZB3","SUZANO SA","Materiais","Renda Variável","177.651.355,10","1,72","177.651.355,10","2.995.807,00","59,30","Brasil","XBSP","BRL","1,00","BRL"
"BRL","BRL CASH","Caixa e/ou Derivativos","Caixa","167.069.825,97","1,62","167.069.825,97","167.069.826,00","100,00","Brasil","-","BRL","1,00","BRL"
"RDOR3","REDE DOR SAO LUIZ SA","Cuidados de saúde","Renda Variável","160.077.127,50","1,55","160.077.127,50","5.439.250,00","29,43","Brasil","XBSP","BRL","1,00","BRL"
"RADL3","RAIA DROGASIL","Bens de primeira necessidade","Renda Variável","156.323.356,52","1,52","156.323.356,52","6.077.891,00","25,72","Brasil","XBSP","BRL","1,00","BRL"
"PRIO3","PETRO RIO SA","Energia","Renda Variável","151.193.450,40","1,47","151.193.450,40","3.794.064,00","39,85","Brasil","XBSP","BRL","1,00","BRL"
"RAIL3","RUMO SA","Bens Industriais","Renda Variável","120.000.531,02","1,16","120.000.531,02","5.774.809,00","20,78","Brasil","XBSP","BRL","1,00","BRL"
"GGBR4","GERDAU PREF SA","Materiais","Renda Variável","117.737.398,80","1,14","117.737.398,80","5.901.624,00","19,95","Brasil","XBSP","BRL","1,00","BRL"
"VBBR3","VIBRA ENERGIA SA","Consumo discricionário","Renda Variável","107.167.035,15","1,04","107.167.035,15","4.860.183,00","22,05","Brasil","XBSP","BRL","1,00","BRL"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","Serviços públicos","Renda Variável","106.274.563,64","1,03","106.274.563,64","8.826.791,00","12,04","Brasil","XBSP","BRL","1,00","BRL"
"ENEV3","ENEVA SA","Serviços públicos","Renda Variável","103.553.587,98","1,00","103.553.587,98","8.586.533,00","12,06","Brasil","XBSP","BRL","1,00","BRL"
"BBSE3","BB SEGURIDADE SA","Produtos financeiros","Renda Variável","103.302.090,12","1,00","103.302.090,12","3.026.724,00","34,13","Brasil","XBSP","BRL","1,00","BRL"
"VIVT3","TELEFONICA BRASIL SA","Comunicação","Renda Variável","100.341.367,40","0,97","100.341.367,40","1.934.105,00","51,88","Brasil","XBSP","BRL","1,00","BRL"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energia","Renda Variável","96.190.536,58","0,93","96.190.536,58","5.177.101,00","18,58","Brasil","XBSP","BRL","1,00","BRL"
"BRFS3","BRF BRASIL FOODS SA","Bens de primeira necessidade","Renda Variável","94.308.032,52","0,92","94.308.032,52","3.868.254,00","24,38","Brasil","XBSP","BRL","1,00","BRL"
"BBDC3","BANCO BRADESCO SA","Produtos financeiros","Renda Variável","84.948.198,15","0,82","84.948.198,15","7.049.643,00","12,05","Brasil","XBSP","BRL","1,00","BRL"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","Serviços públicos","Renda Variável","81.183.229,86","0,79","81.183.229,86","7.974.777,00","10,18","Brasil","XBSP","BRL","1,00","BRL"
"TOTS3","TOTVS SA","Tecnologia de informação","Renda Variável","77.842.822,22","0,76","77.842.822,22","2.565.683,00","30,34","Brasil","XBSP","BRL","1,00","BRL"
"KLBN11","KLABIN UNITS SA","Materiais","Renda Variável","77.391.508,32","0,75","77.391.508,32","3.636.819,00","21,28","Brasil","XBSP","BRL","1,00","BRL"
"LREN3","LOJAS RENNER SA","Consumo discricionário","Renda Variável","76.989.255,16","0,75","76.989.255,16","4.523.458,00","17,02","Brasil","XBSP","BRL","1,00","BRL"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","Cuidados de saúde","Renda Variável","69.227.597,65","0,67","69.227.597,65","22.697.573,00","3,05","Brasil","XBSP","BRL","1,00","BRL"
"ENGI11","ENERGISA UNITS SA","Serviços públicos","Renda Variável","65.966.043,08","0,64","65.966.043,08","1.549.226,00","42,58","Brasil","XBSP","BRL","1,00","BRL"
"TIMS3","TIM SA","Comunicação","Renda Variável","62.585.160,00","0,61","62.585.160,00","3.834.875,00","16,32","Brasil","XBSP","BRL","1,00","BRL"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","Energia","Renda Variável","60.932.720,07","0,59","60.932.720,07","5.534.307,00","11,01","Brasil","XBSP","BRL","1,00","BRL"
"NTCO3","NATURA CO HOLDING SA","Bens de primeira necessidade","Renda Variável","57.923.156,56","0,56","57.923.156,56","4.033.646,00","14,36","Brasil","XBSP","BRL","1,00","BRL"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Bens Industriais","Renda Variável","57.706.932,50","0,56","57.706.932,50","4.710.770,00","12,25","Brasil","XBSP","BRL","1,00","BRL"
"STBP3","SANTOS BRASIL PARTICIPACOES SA","Bens Industriais","Renda Variável","52.553.026,20","0,51","52.553.026,20","4.073.878,00","12,90","Brasil","XBSP","BRL","1,00","BRL"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS PRE","Serviços públicos","Renda Variável","52.301.708,52","0,51","52.301.708,52","1.276.274,00","40,98","Brasil","XBSP","BRL","1,00","BRL"
"ALOS3","ALLOS SA","Imobiliário","Renda Variável","51.872.400,09","0,50","51.872.400,09","2.387.133,00","21,73","Brasil","XBSP","BRL","1,00","BRL"
"ASAI3","SENDAS DISTRIBUIDORA SA","Bens de primeira necessidade","Renda Variável","50.573.613,93","0,49","50.573.613,93","6.409.837,00","7,89","Brasil","XBSP","BRL","1,00","BRL"
"EGIE3","ENGIE BRASIL ENERGIA SA","Serviços públicos","Renda Variável","46.970.928,75","0,46","46.970.928,75","1.212.153,00","38,75","Brasil","XBSP","BRL","1,00","BRL"
"BRAV3","BRAVA ENERGIA SA","Energia","Renda Variável","45.965.823,54","0,45","45.965.823,54","2.203.539,00","20,86","Brasil","XBSP","BRL","1,00","BRL"
"ISAE4","ISA ENERGIA BRASIL PREF","Serviços públicos","Renda Variável","45.742.957,16","0,44","45.742.957,16","1.846.708,00","24,77","Brasil","XBSP","BRL","1,00","BRL"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Produtos financeiros","Renda Variável","44.996.534,13","0,44","44.996.534,13","1.693.509,00","26,57","Brasil","XBSP","BRL","1,00","BRL"
"HYPE3","HYPERMARCAS SA","Cuidados de saúde","Renda Variável","39.536.157,60","0,38","39.536.157,60","1.944.720,00","20,33","Brasil","XBSP","BRL","1,00","BRL"
